meaning,word1,word2,word3,word4
The implications of this research for X are [ITEM] important.,really,fairly,rather,highly
The implications of this research for X are [ITEM] important.,extremely,somewhat,quite,absolutely
The implications of this research for X are [ITEM] important.,moderately,slightly,only barely,relatively
The implications of this research for X are [ITEM] important.,only barely,very,infinitely,particularly
The implications of this research for X are [ITEM] important.,rather,moderately,quite,infinitely
The implications of this research for X are [ITEM] important.,really,relatively,somewhat,particularly
The implications of this research for X are [ITEM] important.,absolutely,very,highly,slightly
The implications of this research for X are [ITEM] important.,fairly,relatively,infinitely,extremely
The implications of this research for X are [ITEM] important.,slightly,particularly,extremely,rather
The implications of this research for X are [ITEM] important.,only barely,highly,quite,really
The implications of this research for X are [ITEM] important.,fairly,somewhat,very,moderately
The implications of this research for X are [ITEM] important.,fairly,only barely,particularly,absolutely
The implications of this research for X are [ITEM] important.,very,relatively,rather,quite
The implications of this research for X are [ITEM] important.,extremely,absolutely,moderately,really
The implications of this research for X are [ITEM] important.,infinitely,somewhat,slightly,highly
